grad-year,hometown,latitude,longitude,college
1933,"Chevy Chase, MD",38.982257,-77.087679,Westhampton
1933,"China Spring, TX",31.65299,-97.305879,Richmond
1933,"Churchville, PA",40.185169,-75.015289,Richmond
1933,"Clinton, NJ",40.635714,-74.909097,Westhampton
1933,"Cocoa Beach, FL",28.317505,-80.610069,Westhampton
1933,"Cohutta, GA",34.959305,-84.955674,Westhampton
1933,"Cold Springs Harbor, NY",40.870681,-73.45831,Westhampton
1933,"Colonial Heights, VA",37.253959,-77.411137,Westhampton
1933,"Colonial Heights, VA",37.253959,-77.411137,Westhampton
1933,"Colts Neck, NJ",40.28811,-74.175994,Richmond
1933,"Colts Neck, NJ",40.28811,-74.175994,Richmond
1933,"Colts Neck, NJ",40.28811,-74.175994,Richmond
1933,"Columbia, MD",39.209161,-76.867313,Richmond
1933,"Columbia, MD",39.209161,-76.867313,Richmond
1933,"Columbia, MD",39.209161,-76.867313,Westhampton
1933,"Columbia, SC",33.99855,-81.045249,Westhampton
1933,"Concord, MI",42.178043,-84.644319,Richmond
1933,"Coral Springs, FL",26.272495,-80.253059,Westhampton
1933,"Cranbury, NJ",40.3282,-74.505034,Westhampton
1933,"Cranford, NJ",40.3282,-74.505034,Westhampton
1933,"Culpeper, VA",38.47333,-77.996139,Westhampton
1933,"Cumberland, RI",41.900345,-71.390754,Westhampton
1933,"Dallas, TX",32.778155,-96.795404,Westhampton
1933,"Dallas, TX",32.778155,-96.795404,Richmond
1933,"Dallas, TX",32.778155,-96.795404,Westhampton
1933,"Dallas, TX",32.778155,-96.795404,Westhampton
1933,"Dallas, TX",32.778155,-96.795404,Richmond
1933,"Dallas, TX",32.778155,-96.795404,Richmond
1933,"Dallas, TX",32.778155,-96.795404,Richmond
1933,"Dallastown, PA",39.90037,-76.640959,Richmond
1933,"Damascus, MD",39.287278,-77.200343,Westhampton
1933,"Darien, CT",41.065365,-73.482424,Richmond
1933,"Deerfield Beach, FL",26.32004,-80.099789,Westhampton
1933,"Delmar, DE",38.4565,-75.574209,Westhampton
1933,"Delran, NJ",40.017368,-74.956413,Richmond
1933,"Devon, PA",40.04563,-75.423824,Westhampton
1933,"DeWitt, NY",43.038712,-76.073792,Richmond
1933,"DeWitt, NY",43.038712,-76.073792,Richmond
1933,"DeWitt, NY",43.038712,-76.073792,Richmond
1933,"Downingtown, PA",40.004545,-75.707144,Richmond
1933,"Dunwoody, GA",33.926207,-84.336185,Westhampton
1933,"Dunwoody, GA",33.926207,-84.336185,Westhampton
1933,"Dunwoody, GA",33.926207,-84.336185,Westhampton
1933,"Dunwoody, GA",33.926207,-84.336185,Westhampton
1933,"East Granby, CT",41.942901,-72.729629,Westhampton
1933,"East Hampton, NY",40.963298,-72.18562,Richmond
1933,"East Quogue, NY",40.84213,-72.579949,Richmond
1933,"East Rockaway, NY",40.646415,-73.664849,Westhampton
1933,"Eastchester, NY",40.956334,-73.815181,Westhampton
1933,"Easton, MD",38.773905,-76.074749,Westhampton
1933,"Elkins Park, PA",40.074372,-75.127577,Richmond
1933,"Elkins Park, PA",40.074372,-75.127577,Westhampton
1933,"Emporia, VA",36.687584,-77.5421,Westhampton
1933,"Endicott, NY",42.09973,-76.045669,Westhampton
1933,"Evanston, IL",42.056655,-87.686589,Richmond
1933,"Ewing, NJ",40.269791,-74.800613,Westhampton
1933,"Fairfax Station, VA",38.802817,-77.325692,Westhampton
1933,"Fairfax, VA",38.841574,-77.308132,Richmond
1933,"Farmington, CT",41.71213,-72.838569,Richmond
1933,"Ferrum, VA",36.92336,-80.014659,Richmond
1933,"Fieldale, VA",36.699058,-79.936855,Westhampton
1933,"Flemington, NJ",40.51031,-74.861014,Richmond
1933,"Flemington, NJ",40.51031,-74.861014,Westhampton
1933,"Flemington, NJ",40.51031,-74.861014,Westhampton
1933,"Florham Park, NJ",40.784087,-74.396803,Westhampton
1933,"Forest Hill, MD",39.583366,-76.387556,Richmond
1933,"Forked River, NJ",39.846161,-74.186722,Richmond
1933,"Fort Worth, TX",32.748855,-97.329389,Richmond
1933,"Fort Worth, TX",32.748855,-97.329389,Richmond
1933,"Franklin Lakes, NJ",41.02032,-74.200064,Richmond
1933,"Franklin Lakes, NJ",41.02032,-74.200064,Richmond
1933,"Franklin Square, NY",40.70791,-73.680043,Richmond
1933,"Frederick, MD",39.415745,-77.412034,Westhampton
1933,"Frederick, MD",39.415745,-77.412034,Westhampton
1933,"Frederick, MD",39.415745,-77.412034,Richmond
1933,"Frederickburg, VA",38.30089,-77.459144,Westhampton
1933,"Fredericksburg, VA",38.30089,-77.459144,Richmond
1933,"Fredericksburg, VA",38.30089,-77.459144,Richmond
1933,"Fredericksburg, VA",38.30089,-77.459144,Richmond
1933,"Ft. Washington, PA",40.145742,-75.208169,Richmond
1933,"Galena, OH",40.215145,-82.879594,Richmond
1933,"Garden City, NY",40.72605,-73.636909,Westhampton
1933,"Garden City, NY",40.72605,-73.636909,Westhampton
1933,"Garden City, NY",40.72605,-73.636909,Westhampton
1933,"Garden City, NY",40.72605,-73.636909,Richmond
1933,"Gibson Island, MD",39.082138,-76.438059,Westhampton
1933,"Glastonbury, CT",41.711938,-72.605177,Westhampton
1933,"Glen Head, NY",40.845432,-73.615681,Richmond
1933,"Glen Rock, NJ",40.961376,-74.128902,Richmond
1933,"Glenwood, MD",39.280475,-77.031324,Westhampton
1933,"Gloucester, VA",37.413962,-76.526305,Richmond
1933,"Gloucester, VA",37.413962,-76.526305,Richmond
1933,"Gloucester, VA",37.413962,-76.526305,Westhampton
1933,"Goochland, VA",37.683039,-77.885272,Richmond
1933,"Grand Rapids, MI",42.96641,-85.671179,Richmond
1933,"Great Falls, VA",38.99723,-77.28839,Richmond
1933,"Great Falls, VA",38.99723,-77.28839,Westhampton
1933,"Greensburg, PA",40.299245,-79.543159,Westhampton
1933,"Greensburg, PA",40.299245,-79.543159,Westhampton
1933,"Greenville, MS",33.398445,-91.037799,Westhampton
1933,"Greenville, SC",34.84827,-82.400114,Westhampton
